ID,TheoreticalPrice,MarketPrice,PriceDifference,ImpliedVol,Delta,Gamma,Vega,Theta,Rho,Vanna,Charm,Vomma,Speed,Zomma,IntrinsicValue,ExtrinsicValue,TimeValue,DeltaExposure,GammaExposure,VegaExposure,DollarDelta,DollarGamma,Status
OPT0001,3.339501,0.000000,0.000000,0.000000,0.371015,0.037988,0.189941,-0.025440,0.084405,0.784271,-0.503650,12.269990,0.000809,-0.165401,0.000000,3.339501,3.339501,37.101549,189.941446,0.189941,37.101549,189.941446,"SUCCESS"
OPT0002,4.397512,0.000000,0.000000,0.000000,-0.177870,0.031488,0.157440,-0.014215,-0.055461,-0.925641,0.212816,31.838945,-0.002481,-0.093762,0.000000,4.397512,4.397512,-17.787047,157.439884,0.157440,-17.787047,157.439884,"SUCCESS"
OPT0003,6.140747,0.000000,0.000000,0.000000,0.372576,0.021513,0.268915,-0.022681,0.155584,0.739497,-0.292440,16.175800,0.000161,-0.073112,0.000000,6.140747,6.140747,37.257577,107.566033,0.268915,37.257577,107.566033,"SUCCESS"
OPT0004,9.247050,0.000000,0.000000,0.000000,-0.084362,0.016047,0.200588,-0.011317,-0.088416,-0.736467,0.103882,43.005433,-0.000910,-0.029784,0.000000,9.247050,9.247050,-8.436200,80.235342,0.200588,-8.436200,80.235342,"SUCCESS"
OPT0005,1.963638,0.000000,0.000000,0.000000,0.547234,0.091512,0.114345,-0.035433,0.043949,-0.196927,-0.280257,0.669832,-0.003406,-0.604722,0.000000,1.963638,1.963638,54.723446,457.562397,0.114345,54.723446,457.562397,"SUCCESS"
OPT0006,1.548004,0.000000,0.000000,0.000000,-0.452766,0.091512,0.114345,-0.021792,-0.039005,-0.196927,-0.280257,0.669832,-0.003406,-0.604722,0.000000,1.548004,1.548004,-45.276554,457.562397,0.114345,-45.276554,457.562397,"SUCCESS"
OPT0007,11.086330,0.000000,0.000000,0.000000,0.465641,0.012239,0.516332,-0.028406,0.440698,0.480816,-0.135211,5.366201,-0.000049,-0.047684,0.000000,11.086330,11.086330,69.846096,137.688561,0.516332,69.846096,137.688561,"SUCCESS"
OPT0008,10.625517,0.000000,0.000000,0.000000,-0.267165,0.010670,0.450134,-0.016387,-0.380252,-0.435684,0.024600,30.043988,-0.000246,-0.035558,0.000000,10.625517,10.625517,-40.074813,120.035686,0.450134,-40.074813,120.035686,"SUCCESS"
OPT0009,8.348758,0.000000,0.000000,0.000000,0.527252,0.017690,0.298512,-0.015686,0.311951,0.307527,-0.099198,-1.573113,-0.000289,-0.059897,0.000000,8.348758,8.348758,39.543905,49.751930,0.298512,39.543905,49.751930,"SUCCESS"
OPT0010,7.098062,0.000000,0.000000,0.000000,-0.276249,0.015542,0.262274,-0.007730,-0.278167,-0.248647,-0.009329,9.572478,-0.000562,-0.046135,0.000000,7.098062,7.098062,-20.718666,43.712401,0.262274,-20.718666,43.712401,"SUCCESS"
OPT0011,6.902728,0.000000,0.000000,0.000000,0.179230,0.024777,0.222989,-0.045969,0.036179,1.312889,-1.069163,63.660764,0.001211,-0.066914,0.000000,6.902728,6.902728,35.846021,495.531958,0.222989,35.846021,495.531958,"SUCCESS"
OPT0012,8.934603,0.000000,0.000000,0.000000,-0.037001,0.021151,0.190362,-0.036432,-0.020419,-1.231322,0.780795,77.222061,-0.001580,-0.031705,0.000000,8.934603,8.934603,-7.400260,423.027249,0.190362,-7.400260,423.027249,"SUCCESS"
OPT0013,3.476509,0.000000,0.000000,0.000000,0.388906,0.038056,0.110986,-0.018590,0.053224,0.520429,-0.387421,4.081469,0.000262,-0.094737,0.000000,3.476509,3.476509,19.445318,47.570314,0.110986,19.445318,47.570314,"SUCCESS"
OPT0014,4.214714,0.000000,0.000000,0.000000,-0.156655,0.030440,0.088773,-0.010790,-0.040154,-0.456350,0.148289,9.503366,-0.002782,-0.054384,0.000000,4.214714,4.214714,-7.832759,38.049495,0.088773,-7.832759,38.049495,"SUCCESS"
OPT0015,3.605414,0.000000,0.000000,0.000000,0.365219,0.035096,0.185343,-0.038466,0.067048,0.715085,-0.661379,11.423039,0.000769,-0.137896,0.000000,3.605414,3.605414,43.826293,252.689509,0.185343,43.826293,252.689509,"SUCCESS"
OPT0016,4.166726,0.000000,0.000000,0.000000,-0.228474,0.030873,0.163043,-0.025582,-0.052650,-0.775090,0.344742,22.870181,-0.001982,-0.097026,0.000000,4.166726,4.166726,-27.416907,222.286648,0.163043,-27.416907,222.286648,"SUCCESS"
OPT0017,12.070366,0.000000,0.000000,0.000000,0.507771,0.012260,0.463460,-0.050267,0.330561,0.229734,-0.154422,-0.519880,-0.000075,-0.043923,0.000000,12.070366,12.070366,91.398720,198.609688,0.463460,91.398720,198.609688,"SUCCESS"
OPT0018,10.434361,0.000000,0.000000,0.000000,-0.364830,0.011624,0.439426,-0.033150,-0.317124,-0.197433,-0.006900,7.499762,-0.000181,-0.039531,0.000000,10.434361,10.434361,-65.669332,188.310489,0.439426,-65.669332,188.310489,"SUCCESS"
OPT0019,8.813213,0.000000,0.000000,0.000000,0.525589,0.016930,0.292568,-0.025036,0.256611,0.245384,-0.142694,-1.155043,-0.000234,-0.053575,0.000000,8.813213,8.813213,47.302986,68.567204,0.292568,47.302986,68.567204,"SUCCESS"
OPT0020,7.430178,0.000000,0.000000,0.000000,-0.288226,0.015048,0.260038,-0.012069,-0.222481,-0.252626,-0.013859,9.091839,-0.000481,-0.041763,0.000000,7.430178,7.430178,-25.940353,60.943251,0.260038,-25.940353,60.943251,"SUCCESS"
OPT0021,4.720601,0.000000,0.000000,0.000000,0.425923,0.027512,0.233051,-0.031114,0.122896,0.511964,-0.337717,5.584532,0.000104,-0.108040,0.000000,4.720601,4.720601,46.851550,166.445869,0.233051,46.851550,166.445869,"SUCCESS"
OPT0022,4.837382,0.000000,0.000000,0.000000,-0.273722,0.024464,0.207232,-0.019335,-0.101940,-0.564782,0.119318,17.388129,-0.001112,-0.081406,0.000000,4.837382,4.837382,-30.109400,148.005810,0.207232,-30.109400,148.005810,"SUCCESS"
OPT0023,9.522199,0.000000,0.000000,0.000000,0.508320,0.015451,0.396009,-0.030069,0.329911,0.272634,-0.137089,-0.564436,-0.000131,-0.059647,0.000000,9.522199,9.522199,66.081587,130.559858,0.396009,66.081587,130.559858,"SUCCESS"
OPT0024,8.142816,0.000000,0.000000,0.000000,-0.327693,0.014218,0.364399,-0.016967,-0.295984,-0.296227,-0.004215,12.012250,-0.000334,-0.049996,0.000000,8.142816,8.142816,-42.600130,120.138406,0.364399,-42.600130,120.138406,"SUCCESS"
OPT0025,9.770975,0.000000,0.000000,0.000000,0.540950,0.015780,0.344162,-0.022337,0.346813,0.222295,-0.116636,-1.971882,-0.000230,-0.055319,0.000000,9.770975,9.770975,51.390236,71.208688,0.344162,51.390236,71.208688,"SUCCESS"
OPT0026,7.965753,0.000000,0.000000,0.000000,-0.282900,0.013997,0.305271,-0.009590,-0.290332,-0.285931,-0.019392,12.405164,-0.000426,-0.042578,0.000000,7.965753,7.965753,-26.875497,63.162058,0.305271,-26.875497,63.162058,"SUCCESS"
OPT0027,5.733870,0.000000,0.000000,0.000000,0.432601,0.022803,0.251362,-0.049590,0.114212,0.423408,-0.379762,4.528084,0.000058,-0.080348,0.000000,5.733870,5.733870,60.564164,223.468682,0.251362,60.564164,223.468682,"SUCCESS"
OPT0028,5.517438,0.000000,0.000000,0.000000,-0.325767,0.021238,0.234115,-0.036948,-0.106493,-0.392584,0.156314,10.347890,-0.000660,-0.069273,0.000000,5.517438,5.517438,-45.607358,208.135854,0.234115,-45.607358,208.135854,"SUCCESS"
OPT0029,13.755295,0.000000,0.000000,0.000000,0.534767,0.011280,0.608839,-0.026434,0.658258,0.230314,-0.079427,-3.067000,-0.000098,-0.049612,0.000000,13.755295,13.755295,85.562692,144.383553,0.608839,85.562692,144.383553,"SUCCESS"
OPT0030,11.175421,0.000000,0.000000,0.000000,-0.345085,0.010570,0.570534,-0.014516,-0.608588,-0.243904,-0.016757,13.855944,-0.000177,-0.043391,0.000000,11.175421,11.175421,-55.213625,135.299556,0.570534,-55.213625,135.299556,"SUCCESS"
OPT0031,5.904579,0.000000,0.000000,0.000000,0.470354,0.023162,0.207086,-0.030378,0.127783,0.333056,-0.260731,1.285921,-0.000172,-0.068748,0.000000,5.904579,5.904579,39.980073,83.670944,0.207086,39.980073,83.670944,"SUCCESS"
OPT0032,5.576034,0.000000,0.000000,0.000000,-0.278628,0.020407,0.182456,-0.017345,-0.109723,-0.325659,0.042684,8.622505,-0.000844,-0.052195,0.000000,5.576034,5.576034,-23.683363,73.719737,0.182456,-23.683363,73.719737,"SUCCESS"
OPT0033,8.268376,0.000000,0.000000,0.000000,0.510678,0.018052,0.419540,-0.023129,0.393576,0.284815,-0.132480,-0.801773,-0.000166,-0.086305,0.000000,8.268376,8.268376,63.834728,141.028433,0.419540,63.834728,141.028433,"SUCCESS"
OPT0034,7.129138,0.000000,0.000000,0.000000,-0.293275,0.016096,0.374086,-0.010394,-0.310154,-0.512921,-0.004443,25.881771,-0.000478,-0.065511,0.000000,7.129138,7.129138,-36.659353,125.748946,0.374086,-36.659353,125.748946,"SUCCESS"
OPT0035,8.692181,0.000000,0.000000,0.000000,0.494649,0.016780,0.499114,-0.030591,0.408432,0.321753,-0.147710,0.539914,-0.000089,-0.088134,0.000000,8.692181,8.692181,84.090384,242.469388,0.499114,84.090384,242.469388,"SUCCESS"
OPT0036,7.563742,0.000000,0.000000,0.000000,-0.328193,0.015445,0.459415,-0.016519,-0.343203,-0.516980,0.006643,26.349829,-0.000356,-0.072432,0.000000,7.563742,7.563742,-55.792871,223.183752,0.459415,-55.792871,223.183752,"SUCCESS"
OPT0037,4.387830,0.000000,0.000000,0.000000,0.401954,0.029159,0.166131,-0.047294,0.063042,0.459537,-0.574246,4.748630,0.000251,-0.085727,0.000000,4.387830,4.387830,42.205206,160.739808,0.166131,42.205206,160.739808,"SUCCESS"
OPT0038,4.492468,0.000000,0.000000,0.000000,-0.276929,0.026331,0.150019,-0.033802,-0.055961,-0.435067,0.271822,9.549278,-0.001265,-0.068179,0.000000,4.492468,4.492468,-29.077568,145.150806,0.150019,-29.077568,145.150806,"SUCCESS"
OPT0039,8.420321,0.000000,0.000000,0.000000,0.515938,0.018175,0.514295,-0.021676,0.525615,0.261059,-0.122900,-1.344850,-0.000158,-0.107385,0.000000,8.420321,8.420321,74.810979,191.061256,0.514295,74.810979,191.061256,"SUCCESS"
OPT0040,7.225887,0.000000,0.000000,0.000000,-0.285048,0.016084,0.455121,-0.008598,-0.384432,-0.715444,-0.007143,45.787229,-0.000475,-0.078428,0.000000,7.225887,7.225887,-41.331964,169.078171,0.455121,-41.331964,169.078171,"SUCCESS"
OPT0041,9.629668,0.000000,0.000000,0.000000,0.507099,0.015069,0.310538,-0.037428,0.223131,0.249159,-0.168672,-0.345131,-0.000141,-0.044489,0.000000,9.629668,9.629668,58.316372,99.644957,0.310538,58.316372,99.644957,"SUCCESS"
OPT0042,8.350744,0.000000,0.000000,0.000000,-0.333580,0.013936,0.287185,-0.023554,-0.214083,-0.179718,-0.003852,5.538099,-0.000330,-0.038301,0.000000,8.350744,8.350744,-38.361719,92.151636,0.287185,-38.361719,92.151636,"SUCCESS"
OPT0043,3.120805,0.000000,0.000000,0.000000,0.262631,0.045165,0.164627,-0.031878,0.040418,1.284913,-1.029652,33.085574,0.002856,-0.191512,0.000000,3.120805,3.120805,35.455238,411.566873,0.164627,35.455238,411.566873,"SUCCESS"
OPT0044,4.176281,0.000000,0.000000,0.000000,-0.123857,0.038821,0.141501,-0.022865,-0.026121,-1.322980,0.668521,48.658342,-0.004205,-0.109135,0.000000,4.176281,4.176281,-16.720689,353.752694,0.141501,-16.720689,353.752694,"SUCCESS"
OPT0045,18.077463,0.000000,0.000000,0.000000,0.544938,0.008466,0.501735,-0.043600,0.442608,0.203514,-0.095839,-2.889147,-0.000075,-0.023369,0.000000,18.077463,18.077463,84.465333,101.698051,0.501735,84.465333,101.698051,"SUCCESS"
OPT0046,15.499388,0.000000,0.000000,0.000000,-0.365329,0.008079,0.478805,-0.030472,-0.480860,-0.024217,-0.030848,0.998520,-0.000108,-0.021667,0.000000,15.499388,15.499388,-56.625962,97.050158,0.478805,-56.625962,97.050158,"SUCCESS"
OPT0047,4.703186,0.000000,0.000000,0.000000,0.418574,0.027360,0.372398,-0.027543,0.214517,0.750492,-0.286251,14.395399,0.000220,-0.171822,0.000000,4.703186,4.703186,69.064684,372.435058,0.372398,69.064684,372.435058,"SUCCESS"
OPT0048,4.893219,0.000000,0.000000,0.000000,-0.283701,0.024655,0.335587,-0.017006,-0.172329,-0.967885,0.112025,45.980148,-0.001010,-0.130588,0.000000,4.893219,4.893219,-46.810599,335.620764,0.335587,-46.810599,335.620764,"SUCCESS"
OPT0049,24.439717,0.000000,0.000000,0.000000,0.561366,0.006339,0.645496,-0.042849,0.645745,0.210470,-0.070108,-5.258692,-0.000052,-0.017198,0.000000,24.439717,24.439717,98.239112,97.067027,0.645496,98.239112,97.067027,"SUCCESS"
OPT0050,21.289970,0.000000,0.000000,0.000000,-0.370781,0.006106,0.621755,-0.031795,-0.754046,0.042003,-0.032629,-2.155120,-0.000066,-0.016280,0.000000,21.289970,21.289970,-64.886758,93.497011,0.621755,-64.886758,93.497011,"SUCCESS"
